Roza2019_ID,Plant_ID,Roza2019_VCF_ID1,Roza2019_VCF_ID
63_2C-3A-2,63,SM:63_S36_R1_001,63_S36_R1_001
64_2D-4A-2,64,SM:64_S47_R1_001,64_S47_R1_001
65_2E-5A-2,65,SM:65_S59_R1_001,65_S59_R1_001
66_2L-9A-1,66,SM:66_S71_R1_001,66_S71_R1_001
67_20H-161A-2,67,SM:67_S83_R1_001,67_S83_R1_001
68_20H-161A-17-1,68,SM:68_S95_R1_001,68_S95_R1_001
69_20H-161A-2,69,SM:69_S106_R1_001,69_S106_R1_001
70_21A-166A-2,70,SM:70_S118_R1_001,70_S118_R1_001
72_21G -169A-1,72,SM:72_S37_R1_001,72_S37_R1_001
74_21K-171A-9,74,SM:74_S48_R1_001,74_S48_R1_001
76_21K -171A -1,76,SM:76_S60_R1_001,76_S60_R1_001
77_22 I-179A-1,77,SM:77_S72_R1_001,77_S72_R1_001
79_22 I-179A-2,79,SM:79_S84_R1_001,79_S84_R1_001
81_22F-176A-2,81,SM:81_S96_R1_001,81_S96_R1_001
82_22F-176A-8,82,SM:82_S107_R1_001,82_S107_R1_001
83_22F-176A-9,83,SM:83_S119_R1_001,83_S119_R1_001
85_22H-178A-2,85,SM:85_S38_R1_001,85_S38_R1_001
87_23C-183A-10,87,SM:87_S49_R1_001,87_S49_R1_001
88_23C-183A-12,88,SM:88_S61_R1_001,88_S61_R1_001
89_23D-184A-1,89,SM:89_S73_R1_001,89_S73_R1_001
90_23D-184A-2,90,SM:90_S85_R1_001,90_S85_R1_001
92_25 I-189A-,92,SM:92_S97_R1_001,92_S97_R1_001
93_25 I -189A-1,93,SM:93_S108_R1_001,93_S108_R1_001
94_26A-192A-1,94,SM:94_S120_R1_001,94_S120_R1_001
95_26A-192A-2,95,SM:95_S39_R1_001,95_S39_R1_001
96_26D-195A-9,96,SM:96_S50_R1_001,96_S50_R1_001
97_26D-195A-13,97,SM:97_S62_R1_001,97_S62_R1_001
98_26D-195A-15,98,SM:98_S74_R1_001,98_S74_R1_001
100_26D-195A-16,100,SM:100_S86_R1_001,100_S86_R1_001
104_28B-204A-1,104,SM:104_S109_R1_001,104_S109_R1_001
107_28D-206A-9,107,SM:107_S121_R1_001,107_S121_R1_001
108_28D-206A-11,108,SM:108_S40_R1_001,108_S40_R1_001
111_29C-213A-2,111,SM:111_S51_R1_001,111_S51_R1_001
112_2-4B-1,112,SM:112_S63_R1_001,112_S63_R1_001
113_3C-11A-2,113,SM:113_S75_R1_001,113_S75_R1_001
115_3D-12A-2,115,SM:115_S87_R1_001,115_S87_R1_001
116_3F-13A-,116,SM:116_S98_R1_001,116_S98_R1_001
117_3H-14A-2,117,SM:117_S110_R1_001,117_S110_R1_001
118_3J-16A-1,118,SM:118_S122_R1_001,118_S122_R1_001
121_30A-218A-8,121,SM:121_S64_R1_001,121_S64_R1_001
123_30E-222A-2,123,SM:123_S76_R1_001,123_S76_R1_001
124_30L-228A-2,124,SM:124_S88_R1_001,124_S88_R1_001
125_30B-219A-2,125,SM:125_S99_R1_001,125_S99_R1_001
126_32D-236A-,126,SM:126_S111_R1_001,126_S111_R1_001
128_4B-18A-1,128,SM:128_S123_R1_001,128_S123_R1_001
129_4C-19A-2,129,SM:129_S41_R1_001,129_S41_R1_001
130_4D-20A-8,130,SM:130_S53_R1_001,130_S53_R1_001
131_4G-23A-1,131,SM:131_S65_R1_001,131_S65_R1_001
133_4L-27A-2,133,SM:133_S77_R1_001,133_S77_R1_001
134_4L-27A-,134,SM:134_S89_R1_001,134_S89_R1_001
135_5A-28A-1,135,SM:135_S100_R1_001,135_S100_R1_001
138_5 I-34A-8,138,SM:138_S112_R1_001,138_S112_R1_001
140_5B -29A-2,140,SM:140_S124_R1_001,140_S124_R1_001
141_5E-31A-1,141,SM:141_S42_R1_001,141_S42_R1_001
143_5F-32A-1,143,SM:143_S54_R1_001,143_S54_R1_001
144_5F-32A-2,144,SM:144_S66_R1_001,144_S66_R1_001
145_5G-33A-2,145,SM:145_S78_R1_001,145_S78_R1_001
146_5L-37A-,146,SM:146_S90_R1_001,146_S90_R1_001
147_6A-38A-1,147,SM:147_S101_R1_001,147_S101_R1_001
149_6F-42A-8-1,149,SM:149_S113_R1_001,149_S113_R1_001
150_6F-42A-8-2,150,SM:150_S125_R1_001,150_S125_R1_001
151_6H-44A-2,151,SM:151_S43_R1_001,151_S43_R1_001
152_6L-47A-2,152,SM:152_S55_R1_001,152_S55_R1_001
153_6L-47A-9,153,SM:153_S67_R1_001,153_S67_R1_001
155_17A-126A-2,155,SM:155_S79_R1_001,155_S79_R1_001
156_7A-48A-1,156,SM:156_S91_R1_001,156_S91_R1_001
157_7A-48A-2,157,SM:157_S102_R1_001,157_S102_R1_001
158_7B-49A-8,158,SM:158_S114_R1_001,158_S114_R1_001
160_ 8B-59 A-1,160,SM:160_S126_R1_001,160_S126_R1_001
161_8-64A-2,161,SM:161_S44_R1_001,161_S44_R1_001
163_8A-58A-1,163,SM:163_S56_R1_001,163_S56_R1_001
164_9F-69A-9,164,SM:164_S68_R1_001,164_S68_R1_001
166_1-2B-1,166,SM:166_S80_R1_001,166_S80_R1_001
168_10-76B-9,168,SM:168_S92_R1_001,168_S92_R1_001
169_10-77B-8,169,SM:169_S10_R1_001,169_S10_R1_001
170_10-77B-13,170,SM:170_S115_R1_001,170_S115_R1_001
172_10-77B-2,172,SM:172_S127_R1_001,172_S127_R1_001
173_10-81B-2,173,SM:173_S45_R1_001,173_S45_R1_001
175_11-84 B-1,175,SM:175_S57_R1_001,175_S57_R1_001
176_11-82B-8,176,SM:176_S69_R1_001,176_S69_R1_001
178_11-82B-13,178,SM:178_S81_R1_001,178_S81_R1_001
183_11-87B-2,183,SM:183_S93_R1_001,183_S93_R1_001
184_11-87B-,184,SM:184_S104_R1_001,184_S104_R1_001
186_312-93B-1,186,SM:186_S116_R1_001,186_S116_R1_001
187_313-101B-1,187,SM:187_S15_R1_001,187_S15_R1_001
188_313-102B-1,188,SM:188_S5_R1_001,188_S5_R1_001
189_313-102B-2,189,SM:189_S58_R1_001,189_S58_R1_001
190_13-96B-2,190,SM:190_S70_R1_001,190_S70_R1_001
191_13-100B-1,191,SM:191_S82_R1_001,191_S82_R1_001
193_14-107B-1,193,SM:193_S94_R1_001,193_S94_R1_001
194_14-103B-2,194,SM:194_S105_R1_001,194_S105_R1_001
195_14-103B-8,195,SM:195_S117_R1_001,195_S117_R1_001
196_14-104B-1,196,SM:196_S129_R1_001,196_S129_R1_001
213_17-133B-2,213,SM:213_S35_R1_001,213_S35_R1_001
230_19-148B-2,230,SM:230_S503_R1_001,230_S503_R1_001
308_3-16B-11,308,SM:308_S163_R1_001,308_S163_R1_001
307_3-16B-2,307,SM:307_S151_R1_001,307_S151_R1_001
223_18-137B-2,223,SM:223_S155_R1_001,223_S155_R1_001
198_14-107B-2,198,SM:198_S130_R1_001,198_S130_R1_001
220_17-132B-2,220,SM:220_S143_R1_001,220_S143_R1_001
212_16-123B-8,212,SM:212_S154_R1_001,212_S154_R1_001
236_20-162B-2,236,SM:236_S203_R1_001,236_S203_R1_001
324_5-33B-1,324,SM:324_S211_R1_001,324_S211_R1_001
318_4-27B-1,318,SM:318_S152_R1_001,318_S152_R1_001
257_23-182B-10,257,SM:257_S217_R1_001,257_S217_R1_001
306_3-13B-9,306,SM:306_S139_R1_001,306_S139_R1_001
258_23-183B-9,258,SM:258_S103_R1_001,258_S103_R1_001
296_30-223B-,296,SM:296_S220_R1_001,296_S220_R1_001
271_26-195B-10,271,SM:271_S148_R1_001,271_S148_R1_001
321_5-31B-1,321,SM:321_S187_R1_001,321_S187_R1_001
229_19-152B-2,229,SM:229_S214_R1_001,229_S214_R1_001
285_2-3B-2,285,SM:285_S149_R1_001,285_S149_R1_001
316_4-25B-1,316,SM:316_S140_R1_001,316_S140_R1_001
267_26-193B-1,267,SM:267_S206_R1_001,267_S206_R1_001
255_23-184B-1,255,SM:255_S205_R1_001,255_S205_R1_001
298_30-227B-,298,SM:298_S150_R1_001,298_S150_R1_001
227_18-141B-,227,SM:227_S202_R1_001,227_S202_R1_001
248_22-179B-1,248,SM:248_S134_R1_001,248_S134_R1_001
240_20-161B-10,240,SM:240_S145_R1_001,240_S145_R1_001
241_20-161B-12,241,SM:241_S157_R1_001,241_S157_R1_001
297_30-224B-2,297,SM:297_S138_R1_001,297_S138_R1_001
325_5-33B-2,325,SM:325_S223_R1_001,325_S223_R1_001
280_29-217B-1,280,SM:280_S207_R1_001,280_S207_R1_001
232_19-148B-12,232,SM:232_S156_R1_001,232_S156_R1_001
287_2-4B-2-B,287,SM:287_S172_R1_001,287_S172_R1_001
319_5-34B-1,319,SM:319_S164_R1_001,319_S164_R1_001
250_22-173B-,250,SM:250_S158_R1_001,250_S158_R1_001
239_20-161B-9,239,SM:239_S133_R1_001,239_S133_R1_001
224_18-139B-1,224,SM:224_S166_R1_001,224_S166_R1_001
284_2-3B-1,284,SM:284_S137_R1_001,284_S137_R1_001
268_26-194B-2,268,SM:268_S218_R1_001,268_S218_R1_001
235_2-8B-1,235,SM:235_S191_R1_001,235_S191_R1_001
311_4-19B -1,311,SM:311_S186_R1_001,311_S186_R1_001
215_17-133B-1,215,SM:215_S189_R1_001,215_S189_R1_001
247_22-176 B-1,247,SM:247_S216_R1_001,247_S216_R1_001
225_18-139B-2,225,SM:225_S178_R1_001,225_S178_R1_001
263_25-188B-1,263,SM:263_S159_R1_001,263_S159_R1_001
282_29-214B-2,282,SM:282_S219_R1_001,282_S219_R1_001
233_19-154B-2,233,SM:233_S167_R1_001,233_S167_R1_001
265_26-195B-1,265,SM:265_S182_R1_001,265_S182_R1_001
269_26-194B-9,269,SM:269_S136_R1_001,269_S136_R1_001
217_17-126B-9,217,SM:217_S201_R1_001,217_S201_R1_001
320_5-30B-1,320,SM:320_S175_R1_001,320_S175_R1_001
322_5-31B-2,322,SM:322_S199_R1_001,322_S199_R1_001
238_20-161B-8,238,SM:238_S215_R1_001,238_S215_R1_001
244_21-168B-2,244,SM:244_S192_R1_001,244_S192_R1_001
302_32-244B-1,302,SM:302_S185_R1_001,302_S185_R1_001
299_30-228B-1,299,SM:299_S162_R1_001,299_S162_R1_001
266_26-198B-1,266,SM:266_S194_R1_001,266_S194_R1_001
272_26-195B-15,272,SM:272_S160_R1_001,272_S160_R1_001
286_2-4B-2-A,286,SM:286_S161_R1_001,286_S161_R1_001
219_17-132B-1,219,SM:219_S132_R1_001,219_S132_R1_001
201_15-109A-2,201,SM:201_S165_R1_001,201_S165_R1_001
231_19-148B-10,231,SM:231_S144_R1_001,231_S144_R1_001
226_18-140B-1,226,SM:226_S190_R1_001,226_S190_R1_001
245_21-169B-1,245,SM:245_S204_R1_001,245_S204_R1_001
207_16-124B -1,207,SM:207_S200_R1_001,207_S200_R1_001
214_17-136B-1,214,SM:214_S177_R1_001,214_S177_R1_001
208_16-124B-2,208,SM:208_S212_R1_001,208_S212_R1_001
295_30-222B-2,295,SM:295_S208_R1_001,295_S208_R1_001
264_26-194 B-1,264,SM:264_S170_R1_001,264_S170_R1_001
200_15-109B-1,200,SM:200_S153_R1_001,200_S153_R1_001
251_22-175B-2,251,SM:251_S169_R1_001,251_S169_R1_001
204_15-112B-11,204,SM:204_S176_R1_001,204_S176_R1_001
300_32-240B-1,300,SM:300_S173_R1_001,300_S173_R1_001
253_22-178B-1,253,SM:253_S193_R1_001,253_S193_R1_001
305_3-13B-2,305,SM:305_S221_R1_001,305_S221_R1_001
242_20-164B-1,242,SM:242_S168_R1_001,242_S168_R1_001
243_21-168B-1,243,SM:243_S180_R1_001,243_S180_R1_001
314_4-24B-8,314,SM:314_S210_R1_001,314_S210_R1_001
234_1-2B-2,234,SM:234_S179_R1_001,234_S179_R1_001
274_26-196B-2,274,SM:274_S183_R1_001,274_S183_R1_001
304_3-11B-1,304,SM:304_S209_R1_001,304_S209_R1_001
249_22-173B-2,249,SM:249_S146_R1_001,249_S146_R1_001
206_16-118B-1,206,SM:206_S188_R1_001,206_S188_R1_001
315_4-25B-2,315,SM:315_S222_R1_001,315_S222_R1_001
291_30-227B-1,291,SM:291_S196_R1_001,291_S196_R1_001
199_15-108B-2,199,SM:199_S141_R1_001,199_S141_R1_001
210_16-121B-1,210,SM:210_S131_R1_001,210_S131_R1_001
303_3-11B-2,303,SM:303_S197_R1_001,303_S197_R1_001
309_3-17B-2,309,SM:309_S174_R1_001,309_S174_R1_001
275_26-196B-,275,SM:275_S195_R1_001,275_S195_R1_001
288_2-5B-2,288,SM:288_S184_R1_001,288_S184_R1_001
252_22-176B-2,252,SM:252_S181_R1_001,252_S181_R1_001
211_16-121B-2,211,SM:211_S142_R1_001,211_S142_R1_001
273_26-195B-12,273,SM:273_S171_R1_001,273_S171_R1_001
312_4-21B-8,312,SM:312_S198_R1_001,312_S198_R1_001
452_5I-34A-3,452,SM:452_S247_R1_001,452_S247_R1_001
454_6B-39A-4,454,SM:454_S270_R1_001,454_S270_R1_001
400_22F-176A-7,400,SM:400_S312_R1_001,400_S312_R1_001
441_31F-232A-5,441,SM:441_S257_R1_001,441_S257_R1_001
456_6H-44A-4,456,SM:456_S282_R1_001,456_S282_R1_001
351_14E-105A-4,351,SM:351_S226_R1_001,351_S226_R1_001
364_15G-113A-4,364,SM:364_S262_R1_001,364_S262_R1_001
326_6-47B-1,326,SM:326_S224_R1_001,326_S224_R1_001
363_15F-112A-5,363,SM:363_S250_R1_001,363_S250_R1_001
423_28D-206A-7,423,SM:423_S314_R1_001,423_S314_R1_001
442_31F-232A-6,442,SM:442_S269_R1_001,442_S269_R1_001
361_15F-112A-6,361,SM:361_S227_R1_001,361_S227_R1_001
358_15A-108A-4,358,SM:358_S296_R1_001,358_S296_R1_001
461_10-76B-7,461,SM:461_S317_R1_001,461_S317_R1_001
360_15F-112A-3,360,SM:360_S308_R1_001,360_S308_R1_001
376_18F-142A-4,376,SM:376_S298_R1_001,376_S298_R1_001
383_19J-153A-5,383,SM:383_S276_R1_001,383_S276_R1_001
331_6-44B-1,331,SM:331_S128_R1_001,331_S128_R1_001
384_19K-154A-3,384,SM:384_S287_R1_001,384_S287_R1_001
355_15A-108A-6,355,SM:355_S261_R1_001,355_S261_R1_001
357_15A-108A-7,357,SM:357_S284_R1_001,357_S284_R1_001
437_30B-219A-7,437,SM:437_S303_R1_001,437_S303_R1_001
447_5B-29A-3,447,SM:447_S292_R1_001,447_S292_R1_001
459_9G-70A-4,459,SM:459_S305_R1_001,459_S305_R1_001
362_15F-112A-7,362,SM:362_S239_R1_001,362_S239_R1_001
438_30L-228A-4,438,SM:438_S315_R1_001,438_S315_R1_001
380_19C-149A-4,380,SM:380_S241_R1_001,380_S241_R1_001
353_14F-106A-3,353,SM:353_S238_R1_001,353_S238_R1_001
453_6B-39A-6,453,SM:453_S258_R1_001,453_S258_R1_001
385_19K-154A-5,385,SM:385_S299_R1_001,385_S299_R1_001
343_10D-77A-7,343,SM:343_S283_R1_001,343_S283_R1_001
327_6-41B -1,327,SM:327_S236_R1_001,327_S236_R1_001
387_2D-4A-3,387,SM:387_S230_R1_001,387_S230_R1_001
333_6-47B-2,333,SM:333_S294_R1_001,333_S294_R1_001
344_11B-82A-4,344,SM:344_S295_R1_001,344_S295_R1_001
386_2D-4A-4,386,SM:386_S311_R1_001,386_S311_R1_001
334_7-57B-1,334,SM:334_S306_R1_001,334_S306_R1_001
339_9-69B-1,339,SM:339_S260_R1_001,339_S260_R1_001
381_19C-149A-5,381,SM:381_S252_R1_001,381_S252_R1_001
368_17H-132A-6,368,SM:368_S297_R1_001,368_S297_R1_001
330_6-43B-10,330,SM:330_S259_R1_001,330_S259_R1_001
350_14C-104A-4,350,SM:350_S307_R1_001,350_S307_R1_001
342_9-70B-,342,SM:342_S272_R1_001,342_S272_R1_001
446_5 I-34A-4,446,SM:446_S281_R1_001,446_S281_R1_001
420_28B-204A-5,420,SM:420_S279_R1_001,420_S279_R1_001
427_29C-213A-5,427,SM:427_S245_R1_001,427_S245_R1_001
457_7A-48A-3,457,SM:457_S293_R1_001,457_S293_R1_001
366_17F-130A-5,366,SM:366_S274_R1_001,366_S274_R1_001
335_7-48B-1,335,SM:335_S225_R1_001,335_S225_R1_001
393_21A-166A-3,393,SM:393_S288_R1_001,393_S288_R1_001
397_22F-176A-4,397,SM:397_S300_R1_001,397_S300_R1_001
450_5E-31A-6,450,SM:450_S316_R1_001,450_S316_R1_001
367_17F-130A-6,367,SM:367_S285_R1_001,367_S285_R1_001
389_20H-161A-3,389,SM:389_S242_R1_001,389_S242_R1_001
378_19B-148A-3,378,SM:378_S310_R1_001,378_S310_R1_001
369_17H-132A-4,369,SM:369_S309_R1_001,369_S309_R1_001
428_29C-213A-6,428,SM:428_S256_R1_001,428_S256_R1_001
432_3J-16A-3,432,SM:432_S268_R1_001,432_S268_R1_001
