Roza2019_VCF_ID,Roza2019_VCF_ID1,Sample_ID,Plant_ID,Ordering,rep,col,row,Male_parent,Planting_ID,Male_parent_pop,plant,BC_ID,Female,Male,Planting_ID1,PlantNo,BC_ID1,Susceptible_parent,F1,Susceptible_parent1,PC1,PC2,PC3,kmeans,DAPC
1_S502_R1_001,SM:1_S502_R1_001,1_10B-75A-,1,1,1,1,1,10B,75A,1622,0,1613-10x1622-10B,1613-10,1622-10B,75A_0,Plant#0,1613-10_1622-10B,1613-10,1622-10B,10,1.20738228394758,1.64256748144402,-12.9619357518165,1,1
100_S86_R1_001,SM:100_S86_R1_001,100_26D-195A-16,100,77,1,5,1,26D,195A,1622,16,1613-26x1622-26D,1613-26,1622-26D,195A_16,Plant#16,1613-26_1622-26D,1613-26,1622-26D,26,19.1399712750647,34.4335465825235,-25.6544467286196,1,1
104_S109_R1_001,SM:104_S109_R1_001,104_28B-204A-1,104,79,1,5,3,28B,204A,1622,1,1613-28x1622-28B,1613-28,1622-28B,204A_1,Plant#1,1613-28_1622-28B,1613-28,1622-28B,28,-4.13794504589218,-40.6941782085356,-2.55239867898213,3,3
107_S121_R1_001,SM:107_S121_R1_001,107_28D-206A-9,107,80,1,5,4,28D,206A,1622,9,1613-28x1622-28D,1613-28,1622-28D,206A_9,Plant#9,1613-28_1622-28D,1613-28,1622-28D,28,-4.7148252614601,-43.7296988807609,-37.0587826103097,3,3
108_S40_R1_001,SM:108_S40_R1_001,108_28D-206A-11,108,81,1,5,5,28D,206A,1622,11,1613-28x1622-28D,1613-28,1622-28D,206A_11,Plant#11,1613-28_1622-28D,1613-28,1622-28D,28,4.50442678679994,-57.09254742891,-18.365459324107,3,3
111_S51_R1_001,SM:111_S51_R1_001,111_29C-213A-2,111,82,1,5,6,29C,213A,1622,2,1613-29x1622-29C,1613-29,1622-29C,213A_2,Plant#2,1613-29_1622-29C,1613-29,1622-29C,29,32.913469239057,12.1578263928721,29.0232424512492,1,1
112_S63_R1_001,SM:112_S63_R1_001,112_2-4B-1,112,83,1,5,7,2,4B,1613,1,1613-2Dx1613-2,1613-2D,1613-2,4B_1,Plant#1,1613-2_1613-2D,1613-2,1613-2D,2,48.3392624104508,54.2655420393585,-57.2945754446138,1,1
113_S75_R1_001,SM:113_S75_R1_001,113_3C-11A-2,113,84,1,5,8,3C,11A,1622,2,1613-3x1622-3C,1613-3,1622-3C,11A_2,Plant#2,1613-3_1622-3C,1613-3,1622-3C,3,25.5756993334224,-8.88924564351737,58.1934555104421,1,1
115_S87_R1_001,SM:115_S87_R1_001,115_3D-12A-2,115,85,1,5,9,3D,12A,1622,2,1613-3x1622-3D,1613-3,1622-3D,12A_2,Plant#2,1613-3_1622-3D,1613-3,1622-3D,3,23.3270351293804,2.64713244727535,-29.290153525474,1,1
116_S98_R1_001,SM:116_S98_R1_001,116_3F-13A-,116,86,1,5,10,3F,13A,1622,0,1613-3x1622-3F,1613-3,1622-3F,13A_0,Plant#0,1613-3_1622-3F,1613-3,1622-3F,3,-49.0807740804041,37.5272338559611,-24.6409729568883,2,2
117_S110_R1_001,SM:117_S110_R1_001,117_3H-14A-2,117,87,1,5,11,3H,14A,1622,2,1613-3x1622-3H,1613-3,1622-3H,14A_2,Plant#2,1613-3_1622-3H,1613-3,1622-3H,3,22.0338265459772,14.5608680097427,-20.9115656754828,1,1
118_S122_R1_001,SM:118_S122_R1_001,118_3J-16A-1,118,88,1,5,12,3J,16A,1622,1,1613-3x1622-3J,1613-3,1622-3J,16A_1,Plant#1,1613-3_1622-3J,1613-3,1622-3J,3,7.67719645125584,19.0489208441257,-29.0550237759651,1,1
12_S468_R1_001,SM:12_S468_R1_001,12_11B-82A-10,12,7,1,1,7,11B,82A,1622,10,1613-11x1622-11B,1613-11,1622-11B,82A_10,Plant#10,1613-11_1622-11B,1613-11,1622-11B,11,-31.7491486121143,18.2127586746933,17.2242528972287,2,2
121_S64_R1_001,SM:121_S64_R1_001,121_30A-218A-8,121,91,1,5,15,30A,218A,1622,8,1613-30x1622-30A,1613-30,1622-30A,218A_8,plant#8,1613-30_1622-30A,1613-30,1622-30A,30,35.8086869175746,-14.8224381384687,69.6265285070098,1,1
123_S76_R1_001,SM:123_S76_R1_001,123_30E-222A-2,123,92,1,5,16,30E,222A,1622,2,1613-30x1622-30E,1613-30,1622-30E,222A_2,Plant#2,1613-30_1622-30E,1613-30,1622-30E,30,6.58063019383154,-60.2799510262308,-4.42756395718477,3,3
124_S88_R1_001,SM:124_S88_R1_001,124_30L-228A-2,124,93,1,5,17,30L,228A,1622,2,1613-30x1622-30L,1613-30,1622-30L,228A_2,Plant#2,1613-30_1622-30L,1613-30,1622-30L,30,7.83900742583053,8.74677012787802,29.9012665133315,1,1
125_S99_R1_001,SM:125_S99_R1_001,125_30B-219A-2,125,94,1,5,18,30B,219A,1622,2,1613-30x1622-30B,1613-30,1622-30B,219A_2,Plant#2,1613-30_1622-30B,1613-30,1622-30B,30,26.4120962214629,-10.3249136459259,24.3175215160198,1,1
126_S111_R1_001,SM:126_S111_R1_001,126_32D-236A-,126,95,1,5,19,32D,236A,1622,0,1613-32x1622-32D,1613-32,1622-32D,236A_0,Plant#0,1613-32_1622-32D,1613-32,1622-32D,32,-62.260167051073,20.0561555807744,5.87991299363291,2,2
128_S123_R1_001,SM:128_S123_R1_001,128_4B-18A-1,128,96,1,6,1,4B,18A,1622,1,1613-4x1622-4B,1613-4,1622-4B,18A_1,Plant#1,1613-4_1622-4B,1613-4,1622-4B,4,34.5832222543075,23.148639719771,5.47710173309353,1,1
129_S41_R1_001,SM:129_S41_R1_001,129_4C-19A-2,129,97,1,6,2,4C,19A,1622,2,1613-4x1622-4C,1613-4,1622-4C,19A_2,Plant#2,1613-4_1622-4C,1613-4,1622-4C,4,29.9726860479291,16.6445620554912,5.0674892596092,1,1
13_S16_R1_001,SM:13_S16_R1_001,13_11B-82A-18,13,8,1,1,8,11B,82A,1622,18,1613-11x1622-11B,1613-11,1622-11B,82A_18,Plant#18,1613-11_1622-11B,1613-11,1622-11B,11,2.23229310694287,-24.2386350136256,7.41786181104388,1,1
130_S53_R1_001,SM:130_S53_R1_001,130_4D-20A-8,130,98,1,6,3,4D,20A,1622,8,1613-4x1622-4D,1613-4,1622-4D,20A_8,plant#8,1613-4_1622-4D,1613-4,1622-4D,4,28.4229306815541,30.4230324164406,-5.09874166546912,1,1
131_S65_R1_001,SM:131_S65_R1_001,131_4G-23A-1,131,99,1,6,4,4G,23A,1622,1,1613-4x1622-4G,1613-4,1622-4G,23A_1,Plant#1,1613-4_1622-4G,1613-4,1622-4G,4,16.0802785807583,23.1881838131875,11.4401309888427,1,1
133_S77_R1_001,SM:133_S77_R1_001,133_4L-27A-2,133,100,1,6,5,4L,27A,1622,2,1613-4x1622-4L,1613-4,1622-4L,27A_2,Plant#2,1613-4_1622-4L,1613-4,1622-4L,4,34.1955434949023,22.0853353972423,7.2642626537256,1,1
134_S89_R1_001,SM:134_S89_R1_001,134_4L-27A-,134,101,1,6,6,4L,27A,1622,0,1613-4x1622-4L,1613-4,1622-4L,27A_0,Plant#0,1613-4_1622-4L,1613-4,1622-4L,4,33.054139274786,20.2851996250235,7.92904034842117,1,1
135_S100_R1_001,SM:135_S100_R1_001,135_5A-28A-1,135,102,1,6,7,5A,28A,1622,1,1613-5x16225A,1613-5,16225A,28A_1,Plant#1,1613-5_16225A,1613-5,16225A,5,32.3744404730164,14.391926942563,23.810113530961,1,1
138_S112_R1_001,SM:138_S112_R1_001,138_5I-34A-8,138,103,1,6,8,5I,34A,1622,8,1613-5x1622-5I,1613-5,1622-5I,34A_8,plant#8,1613-5_1622-5I,1613-5,1622-5I,5,37.7870397676061,-18.728782222852,88.3846838316187,1,1
14_S20_R1_001,SM:14_S20_R1_001,14_11F-86A-11,14,9,1,1,9,11F,86A,1622,11,1613-11x1622-11F,1613-11,1622-11F,86A_11,Plant#11,1613-11_1622-11F,1613-11,1622-11F,11,9.72763795989828,-1.41944940018444,1.0309739043312,1,1
140_S124_R1_001,SM:140_S124_R1_001,140_5B-29A-2,140,104,1,6,9,5B,29A,1622,2,1613-5x1622-5B,1613-5,1622-5B,29A_2,Plant#2,1613-5_1622-5B,1613-5,1622-5B,5,9.53672241486269,-17.9359714527538,50.6340065605186,1,1
141_S42_R1_001,SM:141_S42_R1_001,141_5E-31A-1,141,105,1,6,10,5E,31A,1622,1,1613-5x1622-5E,1613-5,1622-5E,31A_1,Plant#1,1613-5_1622-5E,1613-5,1622-5E,5,17.2379885762157,10.2842836961805,48.6427413513803,1,1
143_S54_R1_001,SM:143_S54_R1_001,143_5F-32A-1,143,106,1,6,11,5F,32A,1622,1,1613-5x1622-5F,1613-5,1622-5F,32A_1,Plant#1,1613-5_1622-5F,1613-5,1622-5F,5,25.9351757121882,-11.881234867442,107.816884492557,1,1
144_S66_R1_001,SM:144_S66_R1_001,144_5F-32A-2,144,107,1,6,12,5F,32A,1622,2,1613-5x1622-5F,1613-5,1622-5F,32A_2,Plant#2,1613-5_1622-5F,1613-5,1622-5F,5,-38.8167668812369,12.8687301521178,75.9684926595549,2,2
145_S78_R1_001,SM:145_S78_R1_001,145_5G-33A-2,145,108,1,6,13,5G,33A,1622,2,1613-5x1622-5G,1613-5,1622-5G,33A_2,Plant#2,1613-5_1622-5G,1613-5,1622-5G,5,8.26991497581549,-53.2833637075813,36.506711914169,3,3
146_S90_R1_001,SM:146_S90_R1_001,146_5L-37A-,146,109,1,6,14,5L,37A,1622,0,1613-5x1622-5L,1613-5,1622-5L,37A_0,Plant#0,1613-5_1622-5L,1613-5,1622-5L,5,27.1202537449193,6.11131524425484,47.2480586728831,1,1
147_S101_R1_001,SM:147_S101_R1_001,147_6A-38A-1,147,110,1,6,15,6A,38A,1622,1,1613-6x1622-6A,1613-6,1622-6A,38A_1,Plant#1,1613-6_1622-6A,1613-6,1622-6A,6,-22.3236652911237,-18.7257720729015,-33.9271425215576,3,3
149_S113_R1_001,SM:149_S113_R1_001,149_6F-42A-8-1,149,111,1,6,16,6F,42A,1622,8-1,1613-6x1622-6F,1613-6,1622-6F,42A_8-1,plant#8,1613-6_1622-6F,1613-6,1622-6F,6,-33.7577927764901,-50.5412813345802,-37.1204521864874,3,3
15_S24_R1_001,SM:15_S24_R1_001,15_13A-95A-1,15,10,1,1,10,13A,95A,1622,1,1613-13x1622-13A,1613-13,1622-13A,95A_1,Plant#1,1613-13_1622-13A,1613-13,1622-13A,13,21.6817191446484,7.10878088426666,-13.741183154544,1,1
150_S125_R1_001,SM:150_S125_R1_001,150_6F-42A-8-2,150,112,1,6,17,6F,42A,1622,8-2,1613-6x1622-6F,1613-6,1622-6F,42A_8-2,plant#8,1613-6_1622-6F,1613-6,1622-6F,6,17.2615215969175,6.83429427076844,-13.0249744249358,1,1
151_S43_R1_001,SM:151_S43_R1_001,151_6H-44A-2,151,113,1,6,18,6H,44A,1622,2,1613-6x1622-6H,1613-6,1622-6H,44A_2,Plant#2,1613-6_1622-6H,1613-6,1622-6H,6,-14.4935662530333,-34.7004407167109,-33.9347764826367,3,3
152_S55_R1_001,SM:152_S55_R1_001,152_6L-47A-2,152,114,1,6,19,6L,47A,1622,2,1613-6x1622-6L,1613-6,1622-6L,47A_2,Plant#2,1613-6_1622-6L,1613-6,1622-6L,6,-12.9584463362397,-4.88713255538449,-12.5209482991205,1,1
153_S67_R1_001,SM:153_S67_R1_001,153_6L-47A-9,153,115,1,7,1,6L,47A,1622,9,1613-6x1622-6L,1613-6,1622-6L,47A_9,Plant#9,1613-6_1622-6L,1613-6,1622-6L,6,-4.07235276471141,-50.5874628556646,-25.4719544939938,3,3
155_S79_R1_001,SM:155_S79_R1_001,155_17A-126A-2,155,116,1,7,2,17A,126A,1622,2,1613-7x1622-17A,1613-7,1622-17A,126A_2,Plant#2,1613-7_1622-17A,1613-7,1622-17A,7,27.3658964261522,-15.9970606635903,48.4499509952805,1,1
156_S91_R1_001,SM:156_S91_R1_001,156_7A-48A-1,156,117,1,7,3,7A,48A,1622,1,1613-7x1622-7A,1613-7,1622-7A,48A_1,Plant#1,1613-7_1622-7A,1613-7,1622-7A,7,-30.7778743463,34.2868083416608,17.4208682532761,2,2
157_S102_R1_001,SM:157_S102_R1_001,157_7A-48A-2,157,118,1,7,4,7A,48A,1622,2,1613-7x1622-7A,1613-7,1622-7A,48A_2,Plant#2,1613-7_1622-7A,1613-7,1622-7A,7,38.6384146307373,43.6367195472498,-23.5283992014981,1,1
158_S114_R1_001,SM:158_S114_R1_001,158_7B-49A-8,158,119,1,7,5,7B,49A,1622,8,1613-7x1622-7B,1613-7,1622-7B,49A_8,plant#8,1613-7_1622-7B,1613-7,1622-7B,7,-49.568836991921,41.5094380465431,5.5560047971528,2,2
16_S28_R1_001,SM:16_S28_R1_001,16_13C-96A-1,16,11,1,1,11,13C,96A,1622,1,1613-13x1622-13C,1613-13,1622-13C,96A_1,Plant#1,1613-13_1622-13C,1613-13,1622-13C,13,11.4402331392615,-17.7251369401692,6.25511894883124,1,1
160_S126_R1_001,SM:160_S126_R1_001,160_8B-59A-1,160,120,1,7,6,8B,59A,1622,1,1613-8x1622-8B,1613-8,1622-8B,59A_1,Plant#1,1613-8_1622-8B,1613-8,1622-8B,8,17.9329995232837,-8.07475301029546,66.8924242713413,1,1
161_S44_R1_001,SM:161_S44_R1_001,161_8-64A-2,161,121,1,7,7,8,64A,1613,2,1613-8x1622-8,1613-8,1622-8,64A_2,Plant#2,1613-8_1622-8,1613-8,1622-8,8,19.2448101852015,8.8030381967264,10.1879385514735,1,1
163_S56_R1_001,SM:163_S56_R1_001,163_8A-58A-1,163,122,1,7,8,8A,58A,1622,1,1613-8x1622-8A,1613-8,1622-8A,58A_1,Plant#1,1613-8_1622-8A,1613-8,1622-8A,8,1.17282653737032,-1.00693707833544,-15.562538793323,1,1
164_S68_R1_001,SM:164_S68_R1_001,164_9F-69A-9,164,123,1,7,9,9F,69A,1622,9,1613-9x1622-9F,1613-9,1622-9F,69A_9,Plant#9,1613-9_1622-9F,1613-9,1622-9F,9,33.3655123480119,-1.98107866661674,2.43540005928489,1,1
166_S80_R1_001,SM:166_S80_R1_001,166_1-2B-1,166,124,1,7,10,1,2B,1613,1,1622-1Kx1613-1,1622-1K,1613-1,2B_1,Plant#1,1613-1_1622-1K,1613-1,1622-1K,1,30.1580983875924,5.12939230128894,9.31279674674018,1,1
168_S92_R1_001,SM:168_S92_R1_001,168_10-76B-9,168,125,1,7,11,10,76B,1613,9,1622-10Cx1613-10,1622-10C,1613-10,76B_9,Plant#9,1613-10_1622-10C,1613-10,1622-10C,10,-45.4740079492595,10.36291252342,-4.51754729799303,2,2
169_S10_R1_001,SM:169_S10_R1_001,169_10-77B-8,169,126,1,7,12,10,77B,1613,8,1622-10Dx1613-10,1622-10D,1613-10,77B_8,plant#8,1613-10_1622-10D,1613-10,1622-10D,10,22.2297639364025,-8.6355097163146,53.6899859839107,1,1
17_S480_R1_001,SM:17_S480_R1_001,17_13D-97A-1,17,12,1,1,12,13D,97A,1622,1,1613-13x1622-13D,1613-13,1622-13D,97A_1,Plant#1,1613-13_1622-13D,1613-13,1622-13D,13,8.69499085843062,-7.80612116816144,-8.8184182992173,1,1
170_S115_R1_001,SM:170_S115_R1_001,170_10-77B-13,170,127,1,7,13,10,77B,1613,13,1622-10Dx1613-10,1622-10D,1613-10,77B_13,Plant#13,1613-10_1622-10D,1613-10,1622-10D,10,-21.392372939155,-60.7814016788979,-21.4003411855474,3,3
172_S127_R1_001,SM:172_S127_R1_001,172_10-77B-2,172,128,1,7,14,10,77B,1613,2,1622-10Dx1613-10,1622-10D,1613-10,77B_2,Plant#2,1613-10_1622-10D,1613-10,1622-10D,10,-10.4305040111998,-4.56282204988158,-10.5532836060193,1,1
173_S45_R1_001,SM:173_S45_R1_001,173_10-81B-2,173,129,1,7,15,10,81B,1613,2,1622-10Kx1613-10,1622-10K,1613-10,81B_2,Plant#2,1613-10_1622-10K,1613-10,1622-10K,10,-7.1764487124924,-14.0950513735652,-0.435424018848519,1,1
175_S57_R1_001,SM:175_S57_R1_001,175_11-84B-1,175,130,1,7,16,11,84B,1613,1,1622-11Dx1613-11,1622-11D,1613-11,84B_1,Plant#1,1613-11_1622-11D,1613-11,1622-11D,11,20.4767161082544,31.8171065641848,-35.0200553830973,1,1
176_S69_R1_001,SM:176_S69_R1_001,176_11-82B-8,176,131,1,7,17,11,82B,1613,8,1622-11Bx1613-11,1622-11B,1613-11,82B_8,plant#8,1613-11_1622-11B,1613-11,1622-11B,11,14.4834529012956,-9.96611170902732,8.13582389325221,1,1
178_S81_R1_001,SM:178_S81_R1_001,178_11-82B-13,178,132,1,7,18,11,82B,1613,13,1622-11Bx1613-11,1622-11B,1613-11,82B_13,Plant#13,1613-11_1622-11B,1613-11,1622-11B,11,-9.97673656105298,-38.9485136534943,-21.614108675527,3,3
18_S32_R1_001,SM:18_S32_R1_001,18_13D-97A-2,18,13,1,1,13,13D,97A,1622,2,1613-13x1622-13D,1613-13,1622-13D,97A_2,Plant#2,1613-13_1622-13D,1613-13,1622-13D,13,12.5941994774747,-15.2092384240103,18.2410460110487,1,1
183_S93_R1_001,SM:183_S93_R1_001,183_11-87B-2,183,133,1,7,19,11,87B,1613,2,1622-11Gx1613-11,1622-11G,1613-11,87B_2,Plant#2,1613-11_1622-11G,1613-11,1622-11G,11,30.4089879713968,-9.60549488724837,54.1275886941749,1,1
184_S104_R1_001,SM:184_S104_R1_001,184_11-87B-,184,134,1,8,1,11,87B,1613,0,1622-11Gx1613-11,1622-11G,1613-11,87B_0,Plant#0,1613-11_1622-11G,1613-11,1622-11G,11,20.0291200620753,-6.19042512957316,55.2958204660085,1,1
186_S116_R1_001,SM:186_S116_R1_001,186_312-93B-1,186,135,1,8,2,12,93B,1613,1,1622-12Ex1613-12,1622-12E,1613-12,93B_1,Plant#1,1613-12_1622-12E,1613-12,1622-12E,12,5.68238921027751,-14.607348328647,13.4826867812272,1,1
187_S15_R1_001,SM:187_S15_R1_001,187_313-101B-1,187,136,1,8,3,13,101B,1613,1,1622-13Hx1613-13,1622-13H,1613-13,101B_1,Plant#1,1613-13_1622-13H,1613-13,1622-13H,13,12.6257826625195,12.2875185692007,-33.7157751293551,1,1
188_S5_R1_001,SM:188_S5_R1_001,188_313-102B-1,188,137,1,8,4,13,102B,1613,1,1622-13Ix1613-13,1622-13I,1613-13,102B_1,Plant#1,1613-13_1622-13I,1613-13,1622-13I,13,23.2846519467522,5.42116343754752,2.94729125011458,1,1
189_S58_R1_001,SM:189_S58_R1_001,189_313-102B-2,189,138,1,8,5,13,102B,1613,2,1622-13Ix1613-13,1622-13I,1613-13,102B_2,Plant#2,1613-13_1622-13I,1613-13,1622-13I,13,30.9691597763573,4.60821118664605,5.33504192349239,1,1
19_S2_R1_001,SM:19_S2_R1_001,19_13F-99A-2,19,14,1,1,14,13F,99A,1622,2,1613-13x1622-13F,1613-13,1622-13F,99A_2,Plant#2,1613-13_1622-13F,1613-13,1622-13F,13,4.59576473985519,-22.5741407442252,9.03254068024283,1,1
190_S70_R1_001,SM:190_S70_R1_001,190_13-96B-2,190,139,1,8,6,13,96B,1613,2,1622-13Cx1613-13,1622-13C,1613-13,96B_2,Plant#2,1613-13_1622-13C,1613-13,1622-13C,13,8.2480406146502,-9.4888587336361,1.4200453145978,1,1
191_S82_R1_001,SM:191_S82_R1_001,191_13-100B-1,191,140,1,8,7,13,100B,1613,1,1622-13Gx1613-13,1622-13G,1613-13,100B_1,Plant#1,1613-13_1622-13G,1613-13,1622-13G,13,19.44929478386,-18.4674094035206,4.7599056628233,1,1
193_S94_R1_001,SM:193_S94_R1_001,193_14-107B-1,193,141,1,8,8,14,107B,1613,1,1622-14Kx1613-14,1622-14K,1613-14,107B_1,Plant#1,1613-14_1622-14K,1613-14,1622-14K,14,-56.7880166997859,11.5563181053067,9.01588568143811,2,2
194_S105_R1_001,SM:194_S105_R1_001,194_14-103B-2,194,142,1,8,9,14,103B,1613,2,1622-14Ax1613-14,1622-14A,1613-14,103B_2,Plant#2,1613-14_1622-14A,1613-14,1622-14A,14,-29.0086182588252,23.1109281507608,30.1308914790607,2,2
195_S117_R1_001,SM:195_S117_R1_001,195_14-103B-8,195,143,1,8,10,14,103B,1613,8,1622-14Ax1613-14,1622-14A,1613-14,103B_8,plant#8,1613-14_1622-14A,1613-14,1622-14A,14,28.5470060054398,15.5197545900077,1.87017936378605,1,1
196_S129_R1_001,SM:196_S129_R1_001,196_14-104B-1,196,144,1,8,11,14,104B,1613,1,1622-14Cx1613-14,1622-14C,1613-14,104B_1,Plant#1,1613-14_1622-14C,1613-14,1622-14C,14,1.90527940092474,-61.3815079954925,-19.2320619072134,3,3
198_S130_R1_001,SM:198_S130_R1_001,198_14-107B-2,198,145,1,8,12,14,107B,1613,2,1622-14Kx1613-14,1622-14K,1613-14,107B_2,Plant#2,1613-14_1622-14K,1613-14,1622-14K,14,3.1079326587692,-38.9868874744576,-9.08997148876705,3,3
199_S141_R1_001,SM:199_S141_R1_001,199_15-108B-2,199,146,1,8,13,15,108B,1613,2,1622-15Ax1613-15,1622-15A,1613-15,108B_2,Plant#2,1613-15_1622-15A,1613-15,1622-15A,15,-103.729626693726,43.9077739130959,22.9881497124901,2,2
20_S7_R1_001,SM:20_S7_R1_001,20_14C-104A-8,20,15,1,1,15,14C,104A,1622,8,1613-14x1622-14C,1613-14,1622-14C,104A_8,plant#8,1613-14_1622-14C,1613-14,1622-14C,14,31.2618568906929,29.1819865881423,3.57846642771158,1,1
200_S153_R1_001,SM:200_S153_R1_001,200_15-109B-1,200,147,1,8,14,15,109B,1613,1,1613-15x1622-15B,1613-15,1622-15B,109B_1,Plant#1,1613-15_1622-15B,1613-15,1622-15B,15,-33.2059503751834,14.8954515693426,55.0804174338197,2,2
201_S165_R1_001,SM:201_S165_R1_001,201_15-109A-2,201,148,1,8,15,15,109A,1613,2,1622-15Bx1613-15,1622-15B,1613-15,109A_2,Plant#2,1613-15_1622-15B,1613-15,1622-15B,15,-26.502366990447,17.2669276989827,64.82280947674,2,2
204_S176_R1_001,SM:204_S176_R1_001,204_15-112B-11,204,149,1,8,16,15,112B,1613,11,1622-15Fx1613-15,1622-15F,1613-15,112B_11,Plant#11,1613-15_1622-15F,1613-15,1622-15F,15,-48.7178117496103,6.94286935337485,13.3694595996497,2,2
206_S188_R1_001,SM:206_S188_R1_001,206_16-118B-1,206,150,1,8,17,16,118B,1613,1,1622-16Bx1613-16,1622-16B,1613-16,118B_1,Plant#1,1613-16_1622-16B,1613-16,1622-16B,16,-1.53553252381942,-25.2917850665452,34.6979896473203,1,1
207_S200_R1_001,SM:207_S200_R1_001,207_16-124B-1,207,151,1,8,18,16,124B,1613,1,1622-16Ix1613-16,1622-16I,1613-16,124B_1,Plant#1,1613-16_1622-16I,1613-16,1622-16I,16,-19.9229379266978,-88.6263245438964,-29.314657447506,3,3
208_S212_R1_001,SM:208_S212_R1_001,208_16-124B-2,208,152,1,8,19,16,124B,1613,2,1622-16Ix1613-16,1622-16I,1613-16,124B_2,Plant#2,1613-16_1622-16I,1613-16,1622-16I,16,-16.9037805828274,-21.0099537483566,-5.59249021595677,3,3
210_S131_R1_001,SM:210_S131_R1_001,210_16-121B-1,210,153,1,9,1,16,121B,1613,1,1622-16Ex1613-16,1622-16E,1613-16,121B_1,Plant#1,1613-16_1622-16E,1613-16,1622-16E,16,1.37763986706181,-27.126713290844,1.81683934474368,1,1
211_S142_R1_001,SM:211_S142_R1_001,211_16-121B-2,211,154,1,9,2,16,121B,1613,2,1622-16Ex1613-16,1622-16E,1613-16,121B_2,Plant#2,1613-16_1622-16E,1613-16,1622-16E,16,-8.05873101440582,-46.2838626701036,34.739452305083,3,3
